Name,Ideology,Political Position,Founder(s)
Kurdistan Workers Party,"Jineology plainlist,Plainlist,Anti-capitalism,Kurdish nationalism,Marxism–Leninism,Democratic confederalism,Communalism,Progressivism,Democratic confederalism * Libertarian socialism * Progressivism * Anti-capitalism,Libertarian socialism","Left-wing,Left-wing plainlist,plainlist",
Lebanese Communist Party,"Communism,Socialism,Marxism–Leninism,Nonsectarianism,Anti-Zionism",Far-left,
Lebanese Forces,"Liberal conservatism,Christian democracy,Lebanese nationalism",Right-wing,"Samir Geagea,Bachir Gemayel,Vice-president,"
Lebanese Forces,"Conservatism,Lebanese nationalism,Anti-communism,Federalism in Lebanon,Anti Pan-Arabism,Maronism,Christian nationalism",Right-wing to far-right,
Lebanese Front,"Factions:,Anti-Palestinianism,Anti-pan-Arabism,Lebanese nationalism,Phoenicianism,Falangism,Anti-communism,Anti-Arabism,Christian nationalism",-,
Lebanese National Resistance Front,"Arab nationalism,Secularism,Marxism-Leninism,Revolutionary socialism,Arab socialism,Left-wing nationalism,Syrian nationalism,Baathism,Anti-Zionism,Anti-imperialism,Pan-Arabism",Far-left,
Lehi,"ubl,Revisionist Zionism,National Bolshevism,Anti-imperialism,Anti-British sentiment,From 1944:",Syncretic,
Society of the Muslim Brothers,"Qutbism,Religious conservatism,Anti-communism n,Salafism,Social conservatism,ubl,Pan-Islamism,Anti-communism,Anti-Zionism,Faction:,Anti-imperialism,Sunni Islamism,Neo-Sufism",Right-wing n,
Palestine Liberation Organization,"Factions:,Arab nationalism,Secularism,cn,One-state solution * Anti-Zionism,August 2024,Arab socialism,One-state solution,Marxism,August 2024 * Factions:,ubl,August 2024 * Baathism * Marxism,Baathism,Anti-Zionism,Anti-imperialism,Pan-Arabism,Palestinian nationalism",Left-wing,"Mahmoud Abbas,"
Islamic Jihad Movement,"ubl,Anti-Zionism,Anti-imperialism,Sunni Islamism,Islamic nationalism,Palestinian nationalism",-,
Palestinian Liberation Front,Palestinian nationalism,-,
Palestine Liberation Organization,"Factions:,Arab nationalism,Secularism,cn,One-state solution * Anti-Zionism,August 2024,Arab socialism,One-state solution,Marxism,August 2024 * Factions:,ubl,August 2024 * Baathism * Marxism,Baathism,Anti-Zionism,Anti-imperialism,Pan-Arabism,Palestinian nationalism",Left-wing,"Mahmoud Abbas,"
Palestinian Popular Struggle Front,"Left-wing nationalism,Palestinian nationalism,Socialism",Left-wing,
Lebanese Kataeb Party,"Christian democracy,Lebanese nationalism,Maronite politics,Social conservatism,Falangism,Anti-communism,Christian nationalism","Centre-right,Right-wing,far-right","Samy Gemayel,Pierre Gemayel,"
Popular Front for the Liberation of Palestine,"Arab nationalism,Communism,Revolutionary socialism,One-state solution,ubl,Marxism–Leninism,Anti-Zionism,Anti-imperialism,Secularism,Pan-Arabism,Palestinian nationalism",Far-left,"Ahmad Saadat,Jamil Mezher,"
Popular Front for the Liberation of Palestine – General Command,"Arab nationalism,Anti-Zionism,Palestinian nationalism",Left-wing to right-wing,"General Secretary,"
Popular Resistance Committees,"Armed struggle,Palestinianism,Palestinian nationalism,* Anti-Zionism",-,
Revolutionary Cells,"Marxism,Au,nomism,Anti-Zionism,Anti-imperialism",-,
Sabireen Movement,"Khomeinism,Anti-Zionism",-,
South Lebanon Army,"Multiconfessionalism,Factions:,Anti-Palestinianism,Lebanese nationalism,Maronite politics,Zionism,Anti-communism,Muslim-Christian Unity,Secularism",-,","
Syrian Social Nationalist Party,"Antisemitism,Economic populism,Social nationalism,Fascism,Syrian nationalism,collapsible list,ubl,Anti-communism,Syrian irredentism","sometimes being labeled far-right.,In the past,the party or elements of its ideology or membership have been erred to as belonging to both the political left,and right,sometimes being labeled far-right.,Syncretic efn,and right","Rabie Banat,Antoun Saadeh,"
